   1980 Tezcatlipoca      -          Sw  2006-10-25 a  
   2035 Stearns           -          Xe  2002-10-28 a  
   2042 Sitarski          -          Sr  2001-08-23 a  
   2045 Peking            -          V   2002-01-14 a  
   2063 Bacchus           -          Sq  2005-05-19 a  
   2064 Thomsen           -          Sqw 2006-06-29 a  
   2074 Shoemaker         -          Sw  2003-09-30 b  
   2085 Henan             -          L   2002-04-14 a  
   2099 Opik              -          Ch  2005-10-08 a  
   2107 Ilmari            -          Sw  2006-01-29 a  
   2157 Ashbrook          -          S   2003-03-16 a  
   2246 Bowell            -          D   2005-04-17 a  
   2335 James             -          S   2005-10-30 a  
   2353 Alva              -          S   2002-05-31 a  
   2354 Lavrov            -          L   2003-03-17 a  
   2378 Pannekoek         -          Cgh 2005-05-11 a  
   2386 Nikonov           -          S   2002-06-17 a  
   2396 Kochi             -          S   2001-08-15 a  
   2401 Aehlita           -          S   2002-08-17 a  
   2442 Corbett           -          V   2002-09-15 c  
   2448 Sholokhov         -          L   2003-03-16 a  
   2501 Lohja             -          A   2002-01-12 a  
   2504 Gaviola           -          Sr  2003-04-27 a  
   2521 Heidi             -          S   2002-01-13 a  
   2566 Kirghizia         -          V   2002-09-16 a  
   2579 Spartacus         -          V   2000-10-10 a  
   2715 Mielikki          -          Sw  2001-08-15 a  
   2732 Witt              -          L   2001-08-15 a  
   2851 Harbin            -          V   2001-08-24 a  
   2873 Binzel            -          Sq  2002-01-13 a  
   2875 Lagerkvist        -          S   2002-03-16 a  
   2911 Miahelena         -          Sw  2003-03-17 a  
   2912 Lapalma           -          V   2001-02-20 a  
   2957 Tatsuo            -          K   2003-03-16 a  
   2965 Surikov           -          Sv  2005-05-10 b  
   2977 Chivilikhin       -          S   2002-09-28 a  
   3028 Zangguoxi         -          K   2002-09-16 a  
   3102 Krok              -          Sqw 2000-10-09 d  
   3103 Eger              -          Xe  2001-06-21 i  
   3122 Florence          -          Sqw 2004-01-26 a  
   3155 Lee               -          V   2001-06-22 a  
