"Spkid","Surname","Name","Spec.type","OCC","Diameter (km)","Launch date (one-way)","Min total dv (km/s)","TOF (days)","Launch date (round-trip)","Min total dv (km/s)","Mission duration (days)","Stay (days)"
"2018736","1998 NU","","Sk","0","2,23 ÷ 4.98","2032-05-12","8.73","410","2036-11-09","18.42","413","8"
"2018882","1999 YN4","","S","0","2,19 ÷ 4.89","2044-02-07","16.61","220","2032-06-13","29.60","398","8"
"2019356","1997 GH3","","S","0","0,91","2035-05-05","12.12","440","2028-05-25","33.25","448","43"
"2020255","1998 FX2","","Sq","0","0,75 ÷ 1.69","2039-04-06","9.05","410","2038-10-20","17.35","338","8"
"2020425","1998 VD35","","Sq","1","0,29 ÷ 0.64","2042-03-29","9.26","160","2041-06-06","12.65","343","13"
"2020790","2000 SE45","","S","0","1,80 ÷ 4.03","2033-01-23","11.18","440","2041-11-23","23.04","428","8"
"2020826","2000 UV13","","Sq","0","5,88 ÷ 13.15","2031-03-31","13.40","440","2030-09-22","31.36","353","8"
"2022099","2000 EX106","","S","0","0,91 ÷ 2.04","2037-08-14","6.14","220","2037-09-05","10.77","448","13"
"2022771","1999 CU3","","Sl","0","1,50 ÷ 3.35","2045-07-19","11.97","440","2026-12-12","18.82","443","8"
"2023548","1994 EF2","","Q","0","1,09 ÷ 2.43","2045-10-31","15.62","130","2045-03-07","27.14","368","8"
"2024475","2000 VN2","","Sa","0","1,89 ÷ 4.22","2036-12-25","9.68","290","2047-05-06","19.48","398","8"
"2025143","1998 SF36","Itokawa","S","0","0,33","2039-05-16","4.30","390","2035-08-07","7.57","308","8"
"2025330","1999 KV4","","B","0","3,21","2036-03-04","10.57","400","2044-04-11","16.05","388","13"
"2031345","1998 PG","","Sq","0","1,15 ÷ 2.58","2038-05-21","8.89","190","2038-05-23","18.32","413","8"
"2031346","1998 PB1","","Sq","0","1,31 ÷ 2.93","2027-07-26","8.37","440","2049-11-11","18.10","443","8"
"2032906","1994 RH","","S","0","2,38 ÷ 5.33","2048-10-07","12.69","170","2048-10-07","26.50","443","8"
"2035107","1991 VH","","Sk","0","0,929","2048-08-20","7.34","190","2048-01-31","10.18","373","13"
"2035396","1997 XF11","","Xk","0","1,43 ÷ 3.20","2028-08-29","8.51","180","2027-11-17","12.53","343","13"
"2035432","1998 BG9","","S","0","0,47 ÷ 1.06","2026-01-28","11.23","440","2025-05-11","26.62","433","13"
"2035670","1998 SU27","","Sq","0","0,47 ÷ 1.06","2032-12-30","9.31","440","2029-04-20","17.02","433","13"
"2036017","1999 ND43","","Sl","0","0,50 ÷ 1.12","2041-11-29","6.32","360","2029-01-20","11.54","398","8"
"2036183","1999 TX16","","Ld","0","2,339","2034-10-25","16.91","370","2026-05-26","30.81","358","13"
